Loop,1
Step,1
Setting
(13:39:58.179),CH1,=,4,V,6.75,A
Reading
(13:39:58.726),[0.5468214],CH1,=,3.141,V,6.752,A
(13:39:58.960),[0.7811792],CH1,=,3.153,V,6.752,A
(13:39:59.195),[1.015537],CH1,=,3.162,V,6.752,A
(13:39:59.429),[1.2498951],CH1,=,3.168,V,6.752,A
(13:39:59.663),[1.4842703],CH1,=,3.17,V,6.752,A
(13:39:59.898),[1.7186279],CH1,=,3.172,V,6.752,A
(13:40:00.132),[1.9529861],CH1,=,3.172,V,6.752,A
(13:40:00.366),[2.187065],CH1,=,3.171,V,6.752,A
(13:40:00.602),[2.4224416],CH1,=,3.169,V,6.752,A
(13:40:00.836),[2.656786],CH1,=,3.169,V,6.752,A
(13:40:01.070),[2.8911438],CH1,=,3.167,V,6.752,A
(13:40:01.305),[3.1255019],CH1,=,3.166,V,6.752,A
(13:40:01.539),[3.359878],CH1,=,3.165,V,6.752,A
(13:40:01.782),[3.6031257],CH1,=,3.163,V,6.752,A
(13:40:02.017),[3.837465],CH1,=,3.163,V,6.752,A
(13:40:02.251),[4.071841],CH1,=,3.161,V,6.752,A
(13:40:02.485),[4.3061798],CH1,=,3.161,V,6.752,A
(13:40:02.720),[4.5405383],CH1,=,3.159,V,6.752,A
(13:40:02.954),[4.774896],CH1,=,3.159,V,6.752,A
(13:40:03.188),[5.0092536],CH1,=,3.157,V,6.752,A
(13:40:03.423),[5.2436108],CH1,=,3.157,V,6.752,A
(13:40:03.657),[5.4779685],CH1,=,3.156,V,6.752,A
(13:40:03.891),[5.7123268],CH1,=,3.156,V,6.752,A
(13:40:04.126),[5.9466839],CH1,=,3.154,V,6.752,A
(13:40:04.360),[6.1810418],CH1,=,3.154,V,6.752,A
(13:40:04.594),[6.4154179],CH1,=,3.153,V,6.752,A
(13:40:04.829),[6.6497571],CH1,=,3.153,V,6.752,A
(13:40:05.063),[6.8841143],CH1,=,3.152,V,6.752,A
(13:40:05.298),[7.1184722],CH1,=,3.151,V,6.752,A
(13:40:05.532),[7.3528305],CH1,=,3.151,V,6.752,A
(13:40:05.766),[7.5871875],CH1,=,3.15,V,6.752,A
(13:40:06.001),[7.8215457],CH1,=,3.15,V,6.752,A
(13:40:06.235),[8.0559032],CH1,=,3.149,V,6.752,A
(13:40:06.469),[8.2902793],CH1,=,3.149,V,6.752,A
(13:40:06.704),[8.5246184],CH1,=,3.148,V,6.752,A
(13:40:06.938),[8.7589773],CH1,=,3.148,V,6.752,A
(13:40:07.172),[8.9933344],CH1,=,3.147,V,6.752,A
(13:40:07.407),[9.2277093],CH1,=,3.147,V,6.752,A
(13:40:07.641),[9.462049],CH1,=,3.146,V,6.752,A
(13:40:07.875),[9.6964067],CH1,=,3.146,V,6.752,A
(13:40:08.110),[9.930765],CH1,=,3.145,V,6.752,A
(13:40:08.344),[10.1651221],CH1,=,3.145,V,6.752,A
(13:40:08.579),[10.3994993],CH1,=,3.145,V,6.752,A
(13:40:08.813),[10.6338376],CH1,=,3.144,V,6.752,A
(13:40:09.047),[10.8682129],CH1,=,3.145,V,6.752,A
(13:40:09.282),[11.1025712],CH1,=,3.144,V,6.752,A
(13:40:09.516),[11.3369114],CH1,=,3.144,V,6.752,A
(13:40:09.750),[11.5712868],CH1,=,3.143,V,6.752,A
(13:40:09.985),[11.8056439],CH1,=,3.143,V,6.752,A
(13:40:10.219),[12.0399837],CH1,=,3.142,V,6.752,A
(13:40:10.453),[12.2743599],CH1,=,3.142,V,6.752,A
(13:40:10.688),[12.5087179],CH1,=,3.141,V,6.752,A
(13:40:10.922),[12.7430568],CH1,=,3.142,V,6.752,A
(13:40:11.156),[12.9774142],CH1,=,3.141,V,6.752,A
(13:40:11.391),[13.2117722],CH1,=,3.14,V,6.752,A
(13:40:11.625),[13.4461487],CH1,=,3.14,V,6.752,A
(13:40:11.860),[13.680488],CH1,=,3.14,V,6.752,A
(13:40:12.094),[13.9148451],CH1,=,3.14,V,6.752,A
(13:40:12.328),[14.1492208],CH1,=,3.139,V,6.752,A
(13:40:12.563),[14.3835791],CH1,=,3.14,V,6.752,A
(13:40:12.797),[14.6179182],CH1,=,3.139,V,6.752,A
(13:40:13.031),[14.8522761],CH1,=,3.139,V,6.752,A
(13:40:13.266),[15.0866517],CH1,=,3.138,V,6.752,A
(13:40:13.500),[15.3210098],CH1,=,3.138,V,6.752,A
(13:40:13.734),[15.5553692],CH1,=,3.137,V,6.752,A
(13:40:13.969),[15.7897081],CH1,=,3.138,V,6.752,A
